Equipe,G1,XG1,XA1,AMT,Passes prog,Passes surface,Poss prog,Poss surface,Dribbles tentés,Ratio_drib,G2,XG2,XA2,TCL,Erreurs,Aerien win,Absences,Domination,Top_gb,Efficacite,Att_reg,Def_reg,Ppda,Xpts,g1_dead,g2_dead,Classement reel,Points reels,Groupe,Keep score,Back score,Ligue
Osasuna,1.18,1.06,1.6,18.79,34.79,6.92,13.18,2.55,13.95,0.47,1.47,1.31,1.95,20.74,0.42,53.39,0.75,0.34,0.34,0.5,0.16,0.58,12.55,1.22,0.13,0.18,11,45,3,0.61,0.21,ES
Paris,2.17,2.01,2.97,28.93,56.13,11.11,26.59,9.07,24.48,0.49,1.04,1.16,1.65,24.85,0.63,47.33,0.61,0.74,0.48,0.54,0.63,0.76,8.04,1.92,0.09,0.11,1,76,1,0.89,0.64,FR
RB Leipzig,2.17,1.85,2.8,27.55,42.19,9.6,20.6,5.1,17.79,0.51,1.21,1.2,1.97,23.98,0.43,49.39,0.39,0.67,0.43,0.69,0.6,0.62,13.39,1.89,0.12,0.1,4,65,2,0.73,0.43,AL
Rayo Vallecano,0.76,1.11,1.32,21.45,35.13,6.71,13.32,3.05,17.18,0.44,1.26,1.17,1.88,24.68,0.32,45.81,0.22,0.39,0.53,0.21,0.26,0.82,9.77,1.39,0.03,0.13,17,38,4,0.45,0.17,ES
Real Betis,1.3,1.19,1.78,23.11,38.61,8.64,17.95,5.27,21.45,0.49,1.18,1.3,1.73,26.95,0.23,46.91,0.7,0.55,0.55,0.48,0.25,0.64,13.4,1.44,0.02,0.07,7,57,3,0.67,0.36,ES
Real Madrid,2.25,1.84,2.74,28.9,48.92,9.82,24.47,8.22,22.82,0.45,0.8,1.04,1.62,22.49,0.33,56.34,0.66,0.71,0.55,0.59,0.59,0.78,13.09,2.04,0.14,0.02,1,95,1,0.77,0.93,ES
Real Sociedad,1.28,1.2,1.69,20.91,38.02,6.54,17.96,4.98,18.65,0.48,0.98,1.03,1.34,24.13,0.35,51.22,0.52,0.57,0.54,0.43,0.2,0.74,7.76,1.39,0.07,0.07,6,60,2,0.74,0.31,ES
Reims,1.24,1.31,2.02,21.38,41.91,7.09,18.38,4.62,19.41,0.5,1.38,1.35,1.96,28.88,0.29,50.24,0.63,0.41,0.47,0.35,0.21,0.56,11.03,1.33,0.06,0.09,9,47,3,0.58,0.25,FR
Rennes,1.64,1.58,1.96,26.02,48.6,9.07,18.43,4.64,19.6,0.49,1.36,1.25,1.75,24.36,0.24,48.72,0.61,0.57,0.38,0.45,0.4,0.62,12.29,1.54,0.07,0.07,10,46,3,0.64,0.35,FR
Roma,1.69,1.38,1.89,22.12,37.37,8.19,17.67,4.27,12.56,0.44,1.12,1.12,1.7,22.25,0.38,52.33,0.74,0.62,0.48,0.54,0.37,0.73,13.43,1.55,0.17,0.02,6,63,2,0.78,0.43,IT
Salernitana,0.84,0.8,1.07,18.39,29.45,5.45,13.13,3.03,14.11,0.39,2.13,1.96,2.54,21.45,0.32,43.62,0.93,0.05,0.29,0.5,0.05,0.21,16.76,0.6,0.16,0.11,20,17,4,0.22,0.3,IT
Sassuolo,1.13,1.06,1.34,21.71,34.24,6.53,16.74,4.13,15.26,0.46,1.97,1.62,2.13,20.37,0.37,41.61,1.14,0.29,0.26,0.47,0.24,0.55,18.67,1.04,0.05,0.11,19,30,4,0.43,0.29,IT
Sevilla,1.25,1.16,1.69,21.95,36.23,7.34,16.23,3.66,16.68,0.45,1.5,1.51,2.14,26.55,0.2,52.94,0.6,0.3,0.48,0.48,0.27,0.45,14.57,1.2,0.14,0.09,14,41,3,0.56,0.3,ES
Sheffield United,0.92,1.02,1.24,15.82,23.26,5.21,9.03,3.34,15.21,0.43,2.74,2.02,2.89,27.82,0.47,45.37,1.25,0.21,0.39,0.42,0.16,0.29,24.95,0.75,0.03,0.26,20,16,4,0.33,0.17,UK
Strasbourg,1.12,1.24,1.79,18.76,33.88,6.41,16.09,3.15,18.79,0.48,1.47,1.34,1.93,28.44,0.38,47.31,0.71,0.44,0.29,0.32,0.29,0.62,15.13,1.19,0.15,0.06,13,39,3,0.62,0.32,FR
Stuttgart,2.29,2.08,3.31,28.24,47.59,10.47,20.38,5.62,19.79,0.5,1.15,1.11,1.61,23.71,0.35,49.0,1.38,0.85,0.47,0.53,0.76,0.76,12.63,2.04,0.06,0.12,2,73,1,0.8,0.33,AL
Torino,0.95,0.99,1.57,20.11,35.08,7.29,18.68,3.24,14.82,0.44,0.95,0.99,1.37,21.05,0.39,49.34,0.51,0.53,0.61,0.37,0.18,0.76,12.05,1.46,0.11,0.05,9,53,3,0.85,0.33,IT
Tottenham,1.95,1.79,2.89,27.71,55.45,11.95,25.18,9.18,21.37,0.44,1.61,1.67,2.02,28.39,0.63,48.89,0.38,0.53,0.53,0.55,0.58,0.42,7.83,1.51,0.13,0.21,5,66,2,0.62,0.47,UK
Toulouse,1.21,1.17,1.71,19.81,39.83,7.31,15.71,4.43,17.79,0.5,1.36,1.51,2.02,27.69,0.14,51.99,0.69,0.4,0.5,0.43,0.21,0.55,11.59,1.34,0.07,0.07,11,43,3,0.53,0.45,FR
Udinese,0.97,1.03,1.38,20.87,26.89,4.89,15.82,3.63,18.97,0.46,1.39,1.29,1.75,24.55,0.26,53.6,0.59,0.45,0.47,0.5,0.13,0.74,19.01,1.3,0.08,0.11,15,37,4,0.29,0.27,IT
Union Berlin,0.98,1.14,1.54,20.08,32.78,7.0,11.82,3.15,14.25,0.42,1.7,1.56,2.3,24.58,0.3,50.44,0.72,0.3,0.38,0.3,0.28,0.55,17.84,1.16,0.15,0.12,15,33,4,0.64,0.1,AL
Valencia,1.05,1.13,1.35,17.63,30.58,5.74,13.74,3.58,16.95,0.42,1.18,1.25,1.78,25.82,0.24,44.36,1.54,0.42,0.63,0.42,0.21,0.63,15.94,1.26,0.0,0.11,9,49,3,0.73,0.25,ES
Verona,1.0,0.99,1.31,20.45,29.53,5.68,14.18,2.97,14.92,0.43,1.34,1.28,1.69,24.29,0.39,54.29,1.61,0.29,0.39,0.45,0.16,0.61,12.73,1.0,0.13,0.05,13,38,3,0.62,0.32,IT
Villarreal,1.67,1.44,2.1,22.41,41.3,8.87,17.28,5.07,18.63,0.48,1.67,1.54,2.17,22.46,0.28,56.05,0.7,0.46,0.46,0.52,0.5,0.48,13.44,1.33,0.15,0.11,8,53,3,0.76,0.45,ES
Werder Bremen,1.41,1.38,2.17,21.21,34.47,8.12,14.47,3.18,16.35,0.45,1.59,1.66,2.59,26.12,0.26,47.17,0.35,0.38,0.56,0.47,0.35,0.44,14.75,1.14,0.15,0.09,9,42,3,0.71,0.3,AL
West Ham,1.58,1.37,1.82,20.6,33.27,6.25,15.21,4.5,18.96,0.46,1.71,1.69,2.44,26.04,0.25,49.3,0.48,0.44,0.44,0.46,0.31,0.46,18.65,1.09,0.25,0.1,9,52,3,0.6,0.36,UK
Wolfsburg,1.21,1.16,1.98,21.29,36.32,7.74,12.97,3.09,14.15,0.41,1.65,1.31,2.23,24.06,0.24,51.41,0.37,0.41,0.41,0.44,0.24,0.65,15.16,1.26,0.0,0.09,12,37,3,0.53,0.29,AL
Wolves,1.32,1.24,1.58,19.55,31.05,6.29,17.66,4.42,21.66,0.5,1.71,1.78,2.52,26.92,0.42,47.04,0.89,0.34,0.53,0.5,0.29,0.42,13.55,1.05,0.16,0.13,14,46,3,0.77,0.29,UK
